timestamp,facility_id,kva,kwh,power_factor,source
2026-04-20T06:00:00+02:00,Central Kitchens NC1 4,267.58,133.77,1.0,authorised-historical-replay
2026-04-20T06:30:00+02:00,Central Kitchens NC1 4,276.65,138.29,1.0,authorised-historical-replay
2026-04-20T07:00:00+02:00,Central Kitchens NC1 4,270.05,135.0,1.0,authorised-historical-replay
2026-04-20T07:30:00+02:00,Central Kitchens NC1 4,257.19,128.59,1.0,authorised-historical-replay
2026-04-20T08:00:00+02:00,Central Kitchens NC1 4,235.26,117.53,1.0,authorised-historical-replay
2026-04-20T08:30:00+02:00,Central Kitchens NC1 4,236.75,118.37,1.0,authorised-historical-replay
2026-04-20T09:00:00+02:00,Central Kitchens NC1 4,245.93,122.94,1.0,authorised-historical-replay
2026-04-20T09:30:00+02:00,Central Kitchens NC1 4,245.76,122.83,1.0,authorised-historical-replay
2026-04-20T10:00:00+02:00,Central Kitchens NC1 4,242.62,121.28,1.0,authorised-historical-replay
2026-04-20T10:30:00+02:00,Central Kitchens NC1 4,237.63,118.8,1.0,authorised-historical-replay
2026-04-20T11:00:00+02:00,Central Kitchens NC1 4,237.01,118.48,1.0,authorised-historical-replay
2026-04-20T11:30:00+02:00,Central Kitchens NC1 4,239.87,119.9,1.0,authorised-historical-replay
2026-04-20T12:00:00+02:00,Central Kitchens NC1 4,235.19,117.57,1.0,authorised-historical-replay
2026-04-20T12:30:00+02:00,Central Kitchens NC1 4,222.21,111.09,1.0,authorised-historical-replay
2026-04-20T13:00:00+02:00,Central Kitchens NC1 4,210.74,105.37,1.0,authorised-historical-replay
2026-04-20T13:30:00+02:00,Central Kitchens NC1 4,209.96,104.97,1.0,authorised-historical-replay
2026-04-20T14:00:00+02:00,Central Kitchens NC1 4,215.59,107.78,1.0,authorised-historical-replay
2026-04-20T14:30:00+02:00,Central Kitchens NC1 4,214.24,107.09,1.0,authorised-historical-replay
2026-04-20T15:00:00+02:00,Central Kitchens NC1 4,187.52,93.71,1.0,authorised-historical-replay
2026-04-20T15:30:00+02:00,Central Kitchens NC1 4,197.62,98.76,1.0,authorised-historical-replay
2026-04-20T16:00:00+02:00,Central Kitchens NC1 4,206.39,103.16,1.0,authorised-historical-replay
2026-04-20T16:30:00+02:00,Central Kitchens NC1 4,212.17,106.08,1.0,authorised-historical-replay
2026-04-20T17:00:00+02:00,Central Kitchens NC1 4,218.83,109.42,1.0,authorised-historical-replay
2026-04-20T17:30:00+02:00,Central Kitchens NC1 4,227.18,113.58,1.0,authorised-historical-replay
2026-04-20T18:00:00+02:00,Central Kitchens NC1 4,214.63,107.31,1.0,authorised-historical-replay
2026-04-20T18:30:00+02:00,Central Kitchens NC1 4,224.18,112.09,1.0,authorised-historical-replay
2026-04-20T19:00:00+02:00,Central Kitchens NC1 4,222.84,111.41,1.0,authorised-historical-replay
2026-04-20T19:30:00+02:00,Central Kitchens NC1 4,205.41,102.62,1.0,authorised-historical-replay
2026-04-20T20:00:00+02:00,Central Kitchens NC1 4,162.49,81.13,1.0,authorised-historical-replay
2026-04-20T20:30:00+02:00,Central Kitchens NC1 4,106.49,53.24,1.0,authorised-historical-replay
2026-04-20T21:00:00+02:00,Central Kitchens NC1 4,104.49,52.23,1.0,authorised-historical-replay
2026-04-20T21:30:00+02:00,Central Kitchens NC1 4,105.09,52.51,1.0,authorised-historical-replay
2026-04-20T22:00:00+02:00,Central Kitchens NC1 4,103.0,51.48,1.0,authorised-historical-replay
2026-04-20T22:30:00+02:00,Central Kitchens NC1 4,103.69,51.83,1.0,authorised-historical-replay
2026-04-20T23:00:00+02:00,Central Kitchens NC1 4,98.43,49.21,1.0,authorised-historical-replay
2026-04-20T23:30:00+02:00,Central Kitchens NC1 4,91.42,45.7,1.0,authorised-historical-replay
2026-04-21T00:00:00+02:00,Central Kitchens NC1 4,87.78,43.86,1.0,authorised-historical-replay
2026-04-21T00:30:00+02:00,Central Kitchens NC1 4,85.47,42.67,1.0,authorised-historical-replay
2026-04-21T01:00:00+02:00,Central Kitchens NC1 4,82.7,41.26,1.0,authorised-historical-replay
2026-04-21T01:30:00+02:00,Central Kitchens NC1 4,79.46,39.69,1.0,authorised-historical-replay
2026-04-21T02:00:00+02:00,Central Kitchens NC1 4,76.06,37.77,0.99,authorised-historical-replay
2026-04-21T02:30:00+02:00,Central Kitchens NC1 4,76.09,38.01,1.0,authorised-historical-replay
2026-04-21T03:00:00+02:00,Central Kitchens NC1 4,76.5,38.17,1.0,authorised-historical-replay
2026-04-21T03:30:00+02:00,Central Kitchens NC1 4,74.93,37.32,1.0,authorised-historical-replay
2026-04-21T04:00:00+02:00,Central Kitchens NC1 4,74.52,37.21,1.0,authorised-historical-replay
2026-04-21T04:30:00+02:00,Central Kitchens NC1 4,73.26,36.62,1.0,authorised-historical-replay
2026-04-21T05:00:00+02:00,Central Kitchens NC1 4,195.1,97.54,1.0,authorised-historical-replay
2026-04-21T05:30:00+02:00,Central Kitchens NC1 4,251.63,125.79,1.0,authorised-historical-replay
2026-04-21T06:00:00+02:00,Central Kitchens NC1 4,288.06,144.01,1.0,authorised-historical-replay
